financial_year,state,area_of_expenditure,broad_source_of_funding,detailed_source_of_funding,real_expenditure_millions
1997-98,NSW,Administration,Government,Australian Government,315
1997-98,NSW,Administration,Government,State and local,120
1997-98,NSW,Aids and appliances,Government,Australian Government,65
1997-98,NSW,All other medications,Government,Australian Government,5
1997-98,NSW,Benefit-paid pharmaceuticals,Government,Australian Government,1068
1997-98,NSW,Capital expenditure,Government,Australian Government,19
1997-98,NSW,Capital expenditure,Government,State and local,420
1997-98,NSW,Community health,Government,Australian Government,225
1997-98,NSW,Community health,Government,State and local,504
1997-98,NSW,Dental services,Government,Australian Government,60
1997-98,NSW,Dental services,Government,State and local,156
1997-98,NSW,Medical expense tax rebate,Government,Australian Government,84
1997-98,NSW,Medical services,Government,Australian Government,4298
1997-98,NSW,Other health practitioners,Government,Australian Government,129
1997-98,NSW,Patient transport services,Government,Australian Government,39
1997-98,NSW,Patient transport services,Government,State and local,169
1997-98,NSW,Private hospitals,Government,Australian Government,286
1997-98,NSW,Public health,Government,Australian Government,140
1997-98,NSW,Public health,Government,State and local,110
1997-98,NSW,Public hospitals,Government,Australian Government,2962
1997-98,NSW,Public hospitals,Government,State and local,4269
1997-98,NSW,Research,Government,Australian Government,192
1997-98,NSW,Research,Government,State and local,46
1997-98,VIC,Administration,Government,Australian Government,203
1997-98,VIC,Administration,Government,State and local,33
1997-98,VIC,Aids and appliances,Government,Australian Government,43
1997-98,VIC,All other medications,Government,Australian Government,3
1997-98,VIC,All other medications,Government,State and local,15
1997-98,VIC,Benefit-paid pharmaceuticals,Government,Australian Government,698
1997-98,VIC,Capital expenditure,Government,Australian Government,14
1997-98,VIC,Capital expenditure,Government,State and local,318
1997-98,VIC,Community health,Government,Australian Government,174
1997-98,VIC,Community health,Government,State and local,318
1997-98,VIC,Dental services,Government,Australian Government,27
1997-98,VIC,Dental services,Government,State and local,66
1997-98,VIC,Medical expense tax rebate,Government,Australian Government,56
1997-98,VIC,Medical services,Government,Australian Government,2860
1997-98,VIC,Other health practitioners,Government,Australian Government,90
1997-98,VIC,Patient transport services,Government,Australian Government,9
1997-98,VIC,Patient transport services,Government,State and local,102
1997-98,VIC,Private hospitals,Government,Australian Government,201
1997-98,VIC,Public health,Government,Australian Government,89
1997-98,VIC,Public health,Government,State and local,265
1997-98,VIC,Public hospitals,Government,Australian Government,1983
1997-98,VIC,Public hospitals,Government,State and local,2202
1997-98,VIC,Research,Government,Australian Government,209
1997-98,VIC,Research,Government,State and local,57
1997-98,QLD,Administration,Government,Australian Government,157
1997-98,QLD,Administration,Government,State and local,26
1997-98,QLD,Aids and appliances,Government,Australian Government,34
1997-98,QLD,All other medications,Government,Australian Government,2
1997-98,QLD,Benefit-paid pharmaceuticals,Government,Australian Government,506
1997-98,QLD,Capital expenditure,Government,Australian Government,10
1997-98,QLD,Capital expenditure,Government,State and local,610
1997-98,QLD,Community health,Government,Australian Government,148
1997-98,QLD,Community health,Government,State and local,757
1997-98,QLD,Dental services,Government,Australian Government,29
1997-98,QLD,Dental services,Government,State and local,157
1997-98,QLD,Medical expense tax rebate,Government,Australian Government,34
1997-98,QLD,Medical services,Government,Australian Government,2107
1997-98,QLD,Other health practitioners,Government,Australian Government,69
1997-98,QLD,Patient transport services,Government,Australian Government,38
1997-98,QLD,Patient transport services,Government,State and local,104
1997-98,QLD,Private hospitals,Government,Australian Government,292
1997-98,QLD,Public health,Government,Australian Government,68
1997-98,QLD,Public health,Government,State and local,87
1997-98,QLD,Public hospitals,Government,Australian Government,1610
1997-98,QLD,Public hospitals,Government,State and local,1749
1997-98,QLD,Research,Government,Australian Government,97
1997-98,QLD,Research,Government,State and local,20
1997-98,WA,Administration,Government,Australian Government,79
1997-98,WA,Administration,Government,State and local,308
1997-98,WA,Aids and appliances,Government,Australian Government,18
1997-98,WA,All other medications,Government,Australian Government,1
1997-98,WA,Benefit-paid pharmaceuticals,Government,Australian Government,231
1997-98,WA,Capital expenditure,Government,Australian Government,5
1997-98,WA,Capital expenditure,Government,State and local,85
1997-98,WA,Community health,Government,Australian Government,111
1997-98,WA,Community health,Government,State and local,209
1997-98,WA,Dental services,Government,Australian Government,19
1997-98,WA,Dental services,Government,State and local,53
1997-98,WA,Medical expense tax rebate,Government,Australian Government,15
1997-98,WA,Medical services,Government,Australian Government,1058
1997-98,WA,Other health practitioners,Government,Australian Government,33
1997-98,WA,Patient transport services,Government,Australian Government,31
1997-98,WA,Patient transport services,Government,State and local,28
1997-98,WA,Private hospitals,Government,Australian Government,101
1997-98,WA,Public health,Government,Australian Government,36
1997-98,WA,Public health,Government,State and local,87
1997-98,WA,Public hospitals,Government,Australian Government,888
1997-98,WA,Public hospitals,Government,State and local,1058
1997-98,WA,Research,Government,Australian Government,64
1997-98,WA,Research,Government,State and local,10
1997-98,SA,Administration,Government,Australian Government,75
1997-98,SA,Administration,Government,State and local,117
1997-98,SA,Aids and appliances,Government,Australian Government,18
1997-98,SA,All other medications,Government,Australian Government,2
1997-98,SA,Benefit-paid pharmaceuticals,Government,Australian Government,238
1997-98,SA,Capital expenditure,Government,Australian Government,6
1997-98,SA,Capital expenditure,Government,State and local,154
1997-98,SA,Community health,Government,Australian Government,83
1997-98,SA,Community health,Government,State and local,22
1997-98,SA,Dental services,Government,Australian Government,14
1997-98,SA,Dental services,Government,State and local,45
1997-98,SA,Medical expense tax rebate,Government,Australian Government,12
1997-98,SA,Medical services,Government,Australian Government,848
1997-98,SA,Other health practitioners,Government,Australian Government,28
1997-98,SA,Patient transport services,Government,Australian Government,19
1997-98,SA,Patient transport services,Government,State and local,29
1997-98,SA,Private hospitals,Government,Australian Government,44
1997-98,SA,Public health,Government,Australian Government,32
1997-98,SA,Public health,Government,State and local,39
1997-98,SA,Public hospitals,Government,Australian Government,950
1997-98,SA,Public hospitals,Government,State and local,683
1997-98,SA,Research,Government,Australian Government,75
1997-98,SA,Research,Government,State and local,14
1997-98,TAS,Administration,Government,Australian Government,21
1997-98,TAS,Administration,Government,State and local,7
1997-98,TAS,Aids and appliances,Government,Australian Government,5
1997-98,TAS,All other medications,Government,Australian Government,1
1997-98,TAS,Benefit-paid pharmaceuticals,Government,Australian Government,81
1997-98,TAS,Capital expenditure,Government,Australian Government,2
1997-98,TAS,Capital expenditure,Government,State and local,15
1997-98,TAS,Community health,Government,Australian Government,23
1997-98,TAS,Community health,Government,State and local,194
1997-98,TAS,Dental services,Government,Australian Government,4
1997-98,TAS,Dental services,Government,State and local,38
1997-98,TAS,Medical expense tax rebate,Government,Australian Government,3
1997-98,TAS,Medical services,Government,Australian Government,263
1997-98,TAS,Other health practitioners,Government,Australian Government,11
1997-98,TAS,Patient transport services,Government,Australian Government,2
1997-98,TAS,Patient transport services,Government,State and local,18
1997-98,TAS,Private hospitals,Government,Australian Government,25
1997-98,TAS,Public health,Government,Australian Government,13
1997-98,TAS,Public health,Government,State and local,12
1997-98,TAS,Public hospitals,Government,Australian Government,255
1997-98,TAS,Public hospitals,Government,State and local,137
1997-98,TAS,Research,Government,Australian Government,9
1997-98,TAS,Research,Government,State and local,1
1997-98,ACT,Administration,Government,Australian Government,43
1997-98,ACT,Administration,Government,State and local,37
1997-98,ACT,Aids and appliances,Government,Australian Government,3
1997-98,ACT,All other medications,Government,Australian Government,8
1997-98,ACT,Benefit-paid pharmaceuticals,Government,Australian Government,35
1997-98,ACT,Capital expenditure,Government,Australian Government,7
1997-98,ACT,Capital expenditure,Government,State and local,14
1997-98,ACT,Community health,Government,Australian Government,7
1997-98,ACT,Community health,Government,State and local,13
1997-98,ACT,Dental services,Government,Australian Government,1
1997-98,ACT,Dental services,Government,State and local,7
1997-98,ACT,Medical expense tax rebate,Government,Australian Government,6
1997-98,ACT,Medical services,Government,Australian Government,172
1997-98,ACT,Other health practitioners,Government,Australian Government,4
1997-98,ACT,Patient transport services,Government,Australian Government,0
1997-98,ACT,Patient transport services,Government,State and local,7
1997-98,ACT,Private hospitals,Government,Australian Government,7
1997-98,ACT,Public health,Government,Australian Government,9
1997-98,ACT,Public health,Government,State and local,5
1997-98,ACT,Public hospitals,Government,Australian Government,147
1997-98,ACT,Public hospitals,Government,State and local,220
1997-98,ACT,Research,Government,Australian Government,50
1997-98,ACT,Research,Government,State and local,5
